,eng_reference,thai_reference,trimmed_segment_path
0,"It's been 10 years, some people can't let go, and the tool to stop it is breathing, and if you",เหตุการณ์มันผ่านมาแล้ว 10 ปี บางคนปล่อยไม่ได้ นั้นเครื่องมือที่จะหยุดมันได้ คือ ลมหายใจ ถ้าพี่เอาน้องทุกคนมาบอกว่า เห้ยพี่นะ ทำสมาธิ พี่อ่านหนังสือ พี่จดบันทึก พี่ออกกำลังกายแบบนี้ น้องทุกคนก็ แล้วไงวะ,combined_wav/combined_output_1.wav
7,"Witt, we're going to be the one who feels that running, the kind of exercise that we're going to be using",วิทญ์ เราจะเป็นคนหนึ่งที่รู้สึกว่าการวิ่ง การออกกำลังกายที่ เราแบบต้องใช้พลังงานเยอะ ๆ อะ เรารู้สึกว่ามันเหนื่อย ถ้าถามว่าออกกำลังกายบ่อยไหม ไม่บ่อย แต่ก็เน้นยืดเส้นยืดสายเอา ฝน ไม่ค่อยจดบันทึกเลยค่ะ คือถามว่าชอบไหม ชอบ เวลาทุกครั้งที่เราได้กลับมาเขียน,combined_wav/combined_output_8.wav
10,"As long as everyone's breathing, everybody's focused, asking why, so that they can see their own thoughts, my question is, how many people raise their hands, if you raise their hands?",ตราบใดที่ทุกคนมีลมหายใจ ทุกคนกลับมาจดจ่อได้ ถามว่าจดจ่อไว้ทำไม ก็เพื่อที่ จะได้เห็นความคิดของตัวเอง คำถามของพี่ก็คือ มีใครบ้างยกมือนะ ถ้า ก็ยกมือนะ มีใครบ้างที่ ถูกความฟุ้งซ่านทำให้ตัวเองตึงเครียด,combined_wav/combined_output_11.wav
12,"Rain, we may not even know it, so at least we know that, uh, we're being pushed, we're",ฝน บางทีอาจจะไม่รู้ก็ได้ด้วยซ้ำ เพราะฉะนั้น อย่างน้อยเรารู้ตัวแล้วว่า เออ เราเนี่ย ถูกความฟุ้งซ่าน พาตัวเองไปตึงเครียด มันอัดแน่น มันต้องปล่อยออก แล้วเวลาที่เราปล่อยออก ใครเป็นคนโดน คนตรงหน้าเรา ใครที่มาอยู่ใกล้เราตอนนั้นโดนหมด,combined_wav/combined_output_13.wav
13,"So if we don't know how to calm down from the distraction, that thing won't let go, this thing won't let go, can it come out of the process, how to get out, how to feel, how to feel, and how to feel, here it is, back to your breath.",เพราะฉะนั้น ถ้าเราไม่รู้วิธีสงบนิ่ง จากความฟุ้งซ่าน ไอ้นั่นก็ไม่ปล่อย ไอ้นี่ก็ไม่ปล่อย แล้วถามว่า มันออกมาจากกระบวนการความคิดนี้ได้ไหม ออกมาได้ แล้วออกมายังไง รู้สึกตัว แล้วรู้สึกตัวยังไง ก็นี่ไง กลับมาที่จดจ่อที่ลมหายใจ,combined_wav/combined_output_14.wav
14,"When we come back to our senses or our sense of wind, we find that our ideas stop working, and because we practice so often, we find that the breathing, the breathing, the breathing, the breathing, I'm having this idea, and it's not going to send it to anyone else, it's going to come back to me, it's going to come back to me.",เมื่อไหร่ที่เรากลับมารู้สึกตัว หรือรู้สึกที่ลมเราเนี่ย เราจะเจอแล้วว่า ความคิดมันหยุดทำงานลง แล้วเพราะเราฝึกทำไปบ่อย ๆ ฝึกทำบ่อยเราจะพบว่า เสียงสูดลมหายใจ อ่อ ลมหายใจแบบนี้ เอ๊ะ ฉันกำลังมีความคิดแบบนี้เกิดขึ้นว่ะ แล้วมันจะไม่ส่งออกไปที่คนอื่น มันจะกลับมาที่ตัวเอง,combined_wav/combined_output_15.wav
15,"There's no attempt to change your mind, but watch it, see where it goes, the music, the music, and then you",ไม่เกิดความพยายาม ที่จะเปลี่ยนความคิดด้วยนะ แต่เฝ้าดูมันว่า ดูซิว่ามันจะเป็นไปถึงไหน เสียงดนตรี มันจะเป็นไปถึงไหน แล้วสุดท้ายเราก็จะเห็นธรรมชาติของมันว่า มันอยู่ไม่นาน แป๊บเดียวเดี๋ยวก็ผ่านไป อันนี้ ความสำคัญของด้านจิตใจ ด้านร่างกาย,combined_wav/combined_output_16.wav
16,"Our bodies are full of organs, we have EN, we have bones, we have muscles, we have lots of organs,",ร่างกายเราประกอบด้วยอวัยวะเต็มไปหมด เรามีเอ็น เรามีกระดูก เรามีกล้ามเนื้อ เรามีอวัยวะเยอะแยะมากมาย ทุกสิ่งทุกอย่าง คำถามคือ ต้องการการบำรุงหรือเปล่า เสียไปทุกวันหรือเปล่า เพราะฉะนั้น เราก็ต้องให้ความสำคัญกับร่างกายด้วย หลายคนทำงานเยอะมาก,combined_wav/combined_output_17.wav
25,"Under the nose, above the upper lip, because this area is always going to be winding in and out, only if we breathe unconsciously, let's let it go automatically, we know when we're coming back hard, right?",ใต้ช่องจมูก เหนือริมฝีปากบน เพราะบริเวณนี้จะมีลมผ่านเข้าออกอยู่ตลอดเวลา เพียงแต่ว่า เราหายใจโดยที่ไม่รู้ตัว ลองปล่อยมันอัตโนมัติไปเลย เราจะรู้ตัวก็ต่อเมื่อ เรากลับมาหายใจแรง ๆ ถูกไหม เสียงหายใจเข้า เราถึงรู้สึกถึงลมที่เข้าไป,combined_wav/combined_output_26.wav
28,"If it's short, let it be short, if it's long, let it be long. Okay, okay, let'",ถ้ามันจะหายใจสั้น ก็ปล่อยให้มันหายใจสั้นไป ถ้ามันจะหายใจยาว ก็ปล่อยให้มันหายใจยาวไป โอเค เข้าใจ ลองเลยไหม มา,combined_wav/combined_output_29.wav
